FRAMEWORK        HELLO     PARAM     DEEP      AFTER_DEEP 
apiary-0.14.0.1  37968.63  23406.25  8626.52   10200.54   
apiary-0.15.0    35452.27  22527.95  33518.76  37941.88   
apiary-0.15.1    37740.72  30093.72  35766.76  39799.59   
scotty-0.8.2     30382.91  17156.59  2492.32   9554.43    
Spock-0.6.2.1    31276.21  25046.59  27670.51  32758.16   
